Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
ME,"Beirut" "Lebanon","Basrah" "Iraq"
ME,"Beirut" "Lebanon","Cairo" "Egypt"
ME,"Beirut" "Lebanon","Paris" "France"
ME,"Beirut" "Lebanon","Dammam" "Saudi Arabia"
ME,"Beirut" "Lebanon","Doha" "Qatar"
ME,"Beirut" "Lebanon","Dubai" "United Arab Emirates"
ME,"Beirut" "Lebanon","Erbil" "Iraq"
ME,"Beirut" "Lebanon","Yerevan" "Armenia"
ME,"Beirut" "Lebanon","Rome" "Italy"
ME,"Beirut" "Lebanon","Frankfurt" "Germany"
ME,"Beirut" "Lebanon","Geneva" "Switzerland"
ME,"Beirut" "Lebanon","Istanbul" "Turkey"
ME,"Beirut" "Lebanon","Jeddah" "Saudi Arabia"
ME,"Beirut" "Lebanon","Kano" "Nigeria"
ME,"Beirut" "Lebanon","Kuwait" "Kuwait"
ME,"Beirut" "Lebanon","Larnaca" "Cyprus"
ME,"Beirut" "Lebanon","London" "United Kingdom"
ME,"Beirut" "Lebanon","Lagos" "Nigeria"
ME,"Beirut" "Lebanon","Madinah" "Saudi Arabia"
ME,"Beirut" "Lebanon","Milano" "Italy"
ME,"Beirut" "Lebanon","Najaf" "Iraq"
ME,"Beirut" "Lebanon","Bucharest" "Romania"
ME,"Beirut" "Lebanon","Riyadh" "Saudi Arabia"
ME,"Beirut" "Lebanon","Moscow" "Russia"
ME,"Beirut" "Lebanon","Tunis" "Tunisia"
ME,"Baghdad" "Iraq","Beirut" "Lebanon"
ME,"Brussels" "Belgium","Beirut" "Lebanon"
ME,"Basrah" "Iraq","Beirut" "Lebanon"
ME,"Cairo" "Egypt","Beirut" "Lebanon"
ME,"Paris" "France","Beirut" "Lebanon"
ME,"Dammam" "Saudi Arabia","Beirut" "Lebanon"
ME,"Doha" "Qatar","Beirut" "Lebanon"
ME,"Dubai" "United Arab Emirates","Beirut" "Lebanon"
ME,"Erbil" "Iraq","Beirut" "Lebanon"
ME,"Yerevan" "Armenia","Beirut" "Lebanon"
ME,"Rome" "Italy","Beirut" "Lebanon"
ME,"Frankfurt" "Germany","Beirut" "Lebanon"
ME,"Geneva" "Switzerland","Beirut" "Lebanon"
ME,"Istanbul" "Turkey","Beirut" "Lebanon"
ME,"Jeddah" "Saudi Arabia","Beirut" "Lebanon"
ME,"Kano" "Nigeria","Beirut" "Lebanon"
ME,"Kuwait" "Kuwait","Beirut" "Lebanon"
ME,"Larnaca" "Cyprus","Beirut" "Lebanon"
ME,"London" "United Kingdom","Beirut" "Lebanon"
ME,"Lagos" "Nigeria","Abidjan" "Cote d'Ivoire"
ME,"Lagos" "Nigeria","Beirut" "Lebanon"
ME,"Milano" "Italy","Beirut" "Lebanon"
ME,"Najaf" "Iraq","Beirut" "Lebanon"
ME,"Bucharest" "Romania","Beirut" "Lebanon"
ME,"Riyadh" "Saudi Arabia","Beirut" "Lebanon"
ME,"Moscow" "Russia","Beirut" "Lebanon"
ME,"Tunis" "Tunisia","Beirut" "Lebanon"
MF,"Bangkok" "Thailand","Fuzhou" "China"
MF,"Bangkok" "Thailand","Xiamen" "China"
MF,"Guangzhou" "China","Fuzhou" "China"
MF,"Guangzhou" "China","Hangzhou" "China"
MF,"Guangzhou" "China","Quanzhou" "China"
MF,"Guangzhou" "China","Xiamen" "China"
MF,"Jakarta" "Indonesia","Fuzhou" "China"
MF,"Jakarta" "Indonesia","Singapore" "Singapore"
MF,"Jakarta" "Indonesia","Xiamen" "China"
MF,"Zhengzhou" "China","Fuzhou" "China"
MF,"Zhengzhou" "China","Hangzhou" "China"
MF,"Zhengzhou" "China","Harbin" "China"
MF,"Zhengzhou" "China","Yinchuan" "China"
MF,"Zhengzhou" "China","Lanzhou" "China"
MF,"Zhengzhou" "China","Urumqi" "China"
MF,"Zhengzhou" "China","Xiamen" "China"
MF,"Zhengzhou" "China","Xining" "China"
MF,"Changchun" "China","Hangzhou" "China"
MF,"Changchun" "China","Ninbo" "China"
MF,"Changchun" "China","Nanjing" "China"
MF,"Changchun" "China","Qingdao" "China"
MF,"Cheju" "South Korea","Fuzhou" "China"
MF,"Cheju" "South Korea","Xiamen" "China"
MF,"Chongqing" "China","Changcha" "China"
MF,"Chongqing" "China","Fuzhou" "China"
MF,"Chongqing" "China","Hangzhou" "China"
MF,"Chongqing" "China","Nanchang" "China"
MF,"Chongqing" "China","Guilin" "China"
MF,"Chongqing" "China","Lijiang" "China"
MF,"Chongqing" "China","Lhasa" "China"
MF,"Chongqing" "China","Tianjin" "China"
MF,"Chongqing" "China","Wuhan" "China"
MF,"Chongqing" "China","Xi'an" "China"
MF,"Chongqing" "China","Xiamen" "China"
MF,"Chongqing" "China","Xining" "China"
MF,"Chongqing" "China","Yichang" "China"
MF,"Changcha" "China","Chongqing" "China"
MF,"Changcha" "China","Chengdu" "China"
MF,"Changcha" "China","Fuzhou" "China"
MF,"Changcha" "China","Hohhot" "China"
MF,"Changcha" "China","Hangzhou" "China"
MF,"Changcha" "China","Quanzhou" "China"
MF,"Changcha" "China","Guiyang" "China"
MF,"Changcha" "China","Lanzhou" "China"
MF,"Changcha" "China","Luzhou" "China"
MF,"Changcha" "China","Mianyang" "China"
MF,"Changcha" "China","Beijing" "China"
MF,"Changcha" "China","Qingdao" "China"
MF,"Changcha" "China","Taipei" "Taiwan"
MF,"Changcha" "China","Taiyuan" "China"
MF,"Changcha" "China","Urumqi" "China"
MF,"Changcha" "China","Xi'an" "China"
MF,"Changcha" "China","Xiamen" "China"
MF,"Chengdu" "China","Changcha" "China"
MF,"Chengdu" "China","Fuzhou" "China"
MF,"Chengdu" "China","Hangzhou" "China"
MF,"Chengdu" "China","Wuhan" "China"
MF,"Chengdu" "China","Xiamen" "China"
MF,"Changzhou" "China","Fuzhou" "China"
MF,"Changzhou" "China","Taiyuan" "China"
MF,"Datong" "China","Taiyuan" "China"
MF,"Dalian" "China","Fuzhou" "China"
MF,"Dalian" "China","Hangzhou" "China"
MF,"Dalian" "China","Qingdao" "China"
MF,"Dalian" "China","Jinan" "China"
MF,"Dalian" "China","Tianjin" "China"
MF,"Dalian" "China","Xiamen" "China"
MF,"Fuzhou" "China","Bangkok" "Thailand"
MF,"Fuzhou" "China","Guangzhou" "China"
MF,"Fuzhou" "China","Jakarta" "Indonesia"
MF,"Fuzhou" "China","Zhengzhou" "China"
MF,"Fuzhou" "China","Cheju" "South Korea"
MF,"Fuzhou" "China","Chongqing" "China"
MF,"Fuzhou" "China","Changcha" "China"
MF,"Fuzhou" "China","Chengdu" "China"
MF,"Fuzhou" "China","Changzhou" "China"
MF,"Fuzhou" "China","Dalian" "China"
MF,"Fuzhou" "China","Haikou" "China"
MF,"Fuzhou" "China","Hangzhou" "China"
MF,"Fuzhou" "China","Harbin" "China"
MF,"Fuzhou" "China","Kaohsiung" "Taiwan"
MF,"Fuzhou" "China","Kunming" "China"
MF,"Fuzhou" "China","Kuala Lumpur" "Malaysia"
MF,"Fuzhou" "China","Guiyang" "China"
MF,"Fuzhou" "China","Guilin" "China"
MF,"Fuzhou" "China","Macau" "Macau"
MF,"Fuzhou" "China","Nanjing" "China"
MF,"Fuzhou" "China","Nanning" "China"
MF,"Fuzhou" "China","Beijing" "China"
MF,"Fuzhou" "China","Shanghai" "China"
MF,"Fuzhou" "China","Singapore" "Singapore"
MF,"Fuzhou" "China","Sanya" "China"
MF,"Fuzhou" "China","Shenzhen" "China"
MF,"Fuzhou" "China","Qingdao" "China"
MF,"Fuzhou" "China","Jinan" "China"
MF,"Fuzhou" "China","Taipei" "Taiwan"
MF,"Fuzhou" "China","Taipei" "Taiwan"
MF,"Fuzhou" "China","Tianjin" "China"
MF,"Fuzhou" "China","Taiyuan" "China"
MF,"Fuzhou" "China","Wuhan" "China"
MF,"Fuzhou" "China","Xi'an" "China"
MF,"Fuzhou" "China","Zhuhai" "China"
MF,"Haikou" "China","Fuzhou" "China"
MF,"Haikou" "China","Hangzhou" "China"
MF,"Haikou" "China","Xiamen" "China"
MF,"Hohhot" "China","Changcha" "China"
MF,"Hohhot" "China","Hangzhou" "China"
MF,"Hohhot" "China","Nanjing" "China"
MF,"Hohhot" "China","Jinan" "China"
MF,"Hohhot" "China","Tianjin" "China"
MF,"Hefei" "China","Taiyuan" "China"
MF,"Hefei" "China","Xiamen" "China"
MF,"Hangzhou" "China","Guangzhou" "China"
MF,"Hangzhou" "China","Zhengzhou" "China"
MF,"Hangzhou" "China","Changchun" "China"
MF,"Hangzhou" "China","Chongqing" "China"
MF,"Hangzhou" "China","Changcha" "China"
MF,"Hangzhou" "China","Chengdu" "China"
MF,"Hangzhou" "China","Dalian" "China"
MF,"Hangzhou" "China","Fuzhou" "China"
MF,"Hangzhou" "China","Haikou" "China"
MF,"Hangzhou" "China","Hohhot" "China"
MF,"Hangzhou" "China","Harbin" "China"
MF,"Hangzhou" "China","Quanzhou" "China"
MF,"Hangzhou" "China","Kunming" "China"
MF,"Hangzhou" "China","Guiyang" "China"
MF,"Hangzhou" "China","Lijiang" "China"
MF,"Hangzhou" "China","Macau" "Macau"
MF,"Hangzhou" "China","Nanning" "China"
MF,"Hangzhou" "China","Beijing" "China"
MF,"Hangzhou" "China","Shenyang" "China"
MF,"Hangzhou" "China","Shijiazhuang" "China"
MF,"Hangzhou" "China","Sanya" "China"
MF,"Hangzhou" "China","Shenzhen" "China"
MF,"Hangzhou" "China","Qingdao" "China"
MF,"Hangzhou" "China","Jinan" "China"
MF,"Hangzhou" "China","Taipei" "Taiwan"
MF,"Hangzhou" "China","Tianjin" "China"
MF,"Hangzhou" "China","Taiyuan" "China"
MF,"Hangzhou" "China","Wuhan" "China"
MF,"Hangzhou" "China","Xi'an" "China"
MF,"Hangzhou" "China","Xiamen" "China"
MF,"Hong Kong" "Hong Kong","Quanzhou" "China"
MF,"Hong Kong" "Hong Kong","Wuyishan" "China"
MF,"Hong Kong" "Hong Kong","Xiamen" "China"
MF,"Harbin" "China","Zhengzhou" "China"
MF,"Harbin" "China","Fuzhou" "China"
MF,"Harbin" "China","Hangzhou" "China"
MF,"Harbin" "China","Nanchang" "China"
MF,"Harbin" "China","Nanjing" "China"
MF,"Harbin" "China","Qingdao" "China"
MF,"Harbin" "China","Tianjin" "China"
MF,"Harbin" "China","Yancheng" "China"
MF,"Zhoushan" "China","Quanzhou" "China"
MF,"Zhoushan" "China","Beijing" "China"
MF,"Zhoushan" "China","Xiamen" "China"
MF,"Seoul" "South Korea","Xiamen" "China"
MF,"Yinchuan" "China","Zhengzhou" "China"
MF,"Yinchuan" "China","Wuhan" "China"
MF,"Yinchuan" "China","Xi'an" "China"
MF,"Quanzhou" "China","Guangzhou" "China"
MF,"Quanzhou" "China","Changcha" "China"
MF,"Quanzhou" "China","Hangzhou" "China"
MF,"Quanzhou" "China","Hong Kong" "Hong Kong"
MF,"Quanzhou" "China","Zhoushan" "China"
MF,"Quanzhou" "China","Guiyang" "China"
MF,"Quanzhou" "China","Macau" "Macau"
MF,"Quanzhou" "China","Nanjing" "China"
MF,"Quanzhou" "China","Beijing" "China"
MF,"Quanzhou" "China","Shanghai" "China"
MF,"Quanzhou" "China","Shenzhen" "China"
MF,"Quanzhou" "China","Taipei" "Taiwan"
MF,"Quanzhou" "China","Wuhan" "China"
MF,"Chizhou" "China","Xiamen" "China"
MF,"Kaohsiung" "Taiwan","Fuzhou" "China"
MF,"Kaohsiung" "Taiwan","Xiamen" "China"
MF,"Nanchang" "China","Chongqing" "China"
MF,"Nanchang" "China","Harbin" "China"
MF,"Nanchang" "China","Kunming" "China"
MF,"Nanchang" "China","Shenzhen" "China"
MF,"Nanchang" "China","Xi'an" "China"
MF,"Nanchang" "China","Xiamen" "China"
MF,"Kunming" "China","Fuzhou" "China"
MF,"Kunming" "China","Hangzhou" "China"
MF,"Kunming" "China","Nanchang" "China"
MF,"Kunming" "China","Guiyang" "China"
MF,"Kunming" "China","Wuhan" "China"
MF,"Kunming" "China","Xiamen" "China"
MF,"Kuala Lumpur" "Malaysia","Fuzhou" "China"
MF,"Kuala Lumpur" "Malaysia","Xiamen" "China"
MF,"Guiyang" "China","Changcha" "China"
MF,"Guiyang" "China","Fuzhou" "China"
MF,"Guiyang" "China","Hangzhou" "China"
MF,"Guiyang" "China","Quanzhou" "China"
MF,"Guiyang" "China","Kunming" "China"
MF,"Guiyang" "China","Xiamen" "China"
MF,"Guilin" "China","Chongqing" "China"
MF,"Guilin" "China","Fuzhou" "China"
MF,"Guilin" "China","Xiamen" "China"
MF,"Lanzhou" "China","Zhengzhou" "China"
MF,"Lanzhou" "China","Changcha" "China"
MF,"Lanzhou" "China","Wuhan" "China"
MF,"Lijiang" "China","Chongqing" "China"
MF,"Lijiang" "China","Hangzhou" "China"
MF,"Lhasa" "China","Chongqing" "China"
MF,"Luzhou" "China","Changcha" "China"
MF,"Macau" "Macau","Fuzhou" "China"
MF,"Macau" "Macau","Hangzhou" "China"
MF,"Macau" "Macau","Quanzhou" "China"
MF,"Macau" "Macau","Xiamen" "China"
MF,"Mianyang" "China","Changcha" "China"
MF,"Ninbo" "China","Changchun" "China"
MF,"Ninbo" "China","Xiamen" "China"
MF,"Nanjing" "China","Changchun" "China"
MF,"Nanjing" "China","Fuzhou" "China"
MF,"Nanjing" "China","Hohhot" "China"
MF,"Nanjing" "China","Harbin" "China"
MF,"Nanjing" "China","Quanzhou" "China"
MF,"Nanjing" "China","Shenyang" "China"
MF,"Nanjing" "China","Xi'an" "China"
MF,"Nanjing" "China","Xiamen" "China"
MF,"Nanning" "China","Fuzhou" "China"
MF,"Nanning" "China","Hangzhou" "China"
MF,"Nanning" "China","Shenzhen" "China"
MF,"Nanning" "China","Xiamen" "China"
MF,"Beijing" "China","Changcha" "China"
MF,"Beijing" "China","Fuzhou" "China"
MF,"Beijing" "China","Hangzhou" "China"
MF,"Beijing" "China","Zhoushan" "China"
MF,"Beijing" "China","Quanzhou" "China"
MF,"Beijing" "China","Wuyishan" "China"
MF,"Beijing" "China","Xiamen" "China"
MF,"Shanghai" "China","Fuzhou" "China"
MF,"Shanghai" "China","Quanzhou" "China"
MF,"Shanghai" "China","Xiamen" "China"
MF,"Shenyang" "China","Hangzhou" "China"
MF,"Shenyang" "China","Nanjing" "China"
MF,"Shenyang" "China","Qingdao" "China"
MF,"Shenyang" "China","Jinan" "China"
MF,"Shenyang" "China","Xiamen" "China"
MF,"Singapore" "Singapore","Jakarta" "Indonesia"
MF,"Singapore" "Singapore","Fuzhou" "China"
MF,"Singapore" "Singapore","Xiamen" "China"
MF,"Shijiazhuang" "China","Hangzhou" "China"
MF,"Sanya" "China","Fuzhou" "China"
MF,"Sanya" "China","Hangzhou" "China"
MF,"Sanya" "China","Xiamen" "China"
MF,"Shenzhen" "China","Fuzhou" "China"
MF,"Shenzhen" "China","Hangzhou" "China"
MF,"Shenzhen" "China","Quanzhou" "China"
MF,"Shenzhen" "China","Nanchang" "China"
MF,"Shenzhen" "China","Nanning" "China"
MF,"Shenzhen" "China","Tianjin" "China"
MF,"Shenzhen" "China","Xiamen" "China"
MF,"Qingdao" "China","Changchun" "China"
MF,"Qingdao" "China","Changcha" "China"
MF,"Qingdao" "China","Dalian" "China"
MF,"Qingdao" "China","Fuzhou" "China"
MF,"Qingdao" "China","Hangzhou" "China"
MF,"Qingdao" "China","Harbin" "China"
MF,"Qingdao" "China","Shenyang" "China"
MF,"Qingdao" "China","Xiamen" "China"
MF,"Jinan" "China","Dalian" "China"
MF,"Jinan" "China","Fuzhou" "China"
MF,"Jinan" "China","Hohhot" "China"
MF,"Jinan" "China","Hangzhou" "China"
MF,"Jinan" "China","Shenyang" "China"
MF,"Jinan" "China","Urumqi" "China"
MF,"Jinan" "China","Wuhan" "China"
MF,"Jinan" "China","Xiamen" "China"
MF,"Taipei" "Taiwan","Changcha" "China"
MF,"Taipei" "Taiwan","Fuzhou" "China"
MF,"Taipei" "Taiwan","Hangzhou" "China"
MF,"Taipei" "Taiwan","Quanzhou" "China"
MF,"Taipei" "Taiwan","Xiamen" "China"
MF,"Taipei" "Taiwan","Fuzhou" "China"
MF,"Taipei" "Taiwan","Xiamen" "China"
MF,"Tianjin" "China","Chongqing" "China"
MF,"Tianjin" "China","Dalian" "China"
MF,"Tianjin" "China","Fuzhou" "China"
MF,"Tianjin" "China","Hohhot" "China"
MF,"Tianjin" "China","Hangzhou" "China"
MF,"Tianjin" "China","Harbin" "China"
MF,"Tianjin" "China","Shenzhen" "China"
MF,"Tianjin" "China","Wuhan" "China"
MF,"Tianjin" "China","Xi'an" "China"
MF,"Tianjin" "China","Xiamen" "China"
MF,"Huangshan" "China","Taiyuan" "China"
MF,"Huangshan" "China","Xiamen" "China"
MF,"Taiyuan" "China","Changcha" "China"
MF,"Taiyuan" "China","Changzhou" "China"
MF,"Taiyuan" "China","Datong" "China"
MF,"Taiyuan" "China","Fuzhou" "China"
MF,"Taiyuan" "China","Hefei" "China"
MF,"Taiyuan" "China","Hangzhou" "China"
MF,"Taiyuan" "China","Huangshan" "China"
MF,"Taiyuan" "China","Xiamen" "China"
MF,"Urumqi" "China","Zhengzhou" "China"
MF,"Urumqi" "China","Changcha" "China"
MF,"Urumqi" "China","Jinan" "China"
MF,"Urumqi" "China","Wuhan" "China"
MF,"Urumqi" "China","Xi'an" "China"
MF,"Wuhan" "China","Chongqing" "China"
MF,"Wuhan" "China","Chengdu" "China"
MF,"Wuhan" "China","Fuzhou" "China"
MF,"Wuhan" "China","Hangzhou" "China"
MF,"Wuhan" "China","Yinchuan" "China"
MF,"Wuhan" "China","Quanzhou" "China"
MF,"Wuhan" "China","Kunming" "China"
MF,"Wuhan" "China","Lanzhou" "China"
MF,"Wuhan" "China","Jinan" "China"
MF,"Wuhan" "China","Tianjin" "China"
MF,"Wuhan" "China","Urumqi" "China"
MF,"Wuhan" "China","Xiamen" "China"
MF,"Wuyishan" "China","Hong Kong" "Hong Kong"
MF,"Wuyishan" "China","Beijing" "China"
MF,"Wuyishan" "China","Xiamen" "China"
MF,"Wanxian" "China","Xi'an" "China"
MF,"Wanxian" "China","Xiamen" "China"
MF,"Xi'an" "China","Chongqing" "China"
MF,"Xi'an" "China","Changcha" "China"
MF,"Xi'an" "China","Fuzhou" "China"
MF,"Xi'an" "China","Hangzhou" "China"
MF,"Xi'an" "China","Yinchuan" "China"
MF,"Xi'an" "China","Nanchang" "China"
MF,"Xi'an" "China","Nanjing" "China"
MF,"Xi'an" "China","Tianjin" "China"
MF,"Xi'an" "China","Urumqi" "China"
MF,"Xi'an" "China","Wanxian" "China"
MF,"Xi'an" "China","Xiamen" "China"
MF,"Xi'an" "China","Xining" "China"
MF,"Xiamen" "China","Bangkok" "Thailand"
MF,"Xiamen" "China","Guangzhou" "China"
MF,"Xiamen" "China","Jakarta" "Indonesia"
MF,"Xiamen" "China","Zhengzhou" "China"
MF,"Xiamen" "China","Cheju" "South Korea"
MF,"Xiamen" "China","Chongqing" "China"
MF,"Xiamen" "China","Changcha" "China"
MF,"Xiamen" "China","Chengdu" "China"
MF,"Xiamen" "China","Dalian" "China"
MF,"Xiamen" "China","Haikou" "China"
MF,"Xiamen" "China","Hefei" "China"
MF,"Xiamen" "China","Hangzhou" "China"
MF,"Xiamen" "China","Hong Kong" "Hong Kong"
MF,"Xiamen" "China","Zhoushan" "China"
MF,"Xiamen" "China","Seoul" "South Korea"
MF,"Xiamen" "China","Chizhou" "China"
MF,"Xiamen" "China","Kaohsiung" "Taiwan"
MF,"Xiamen" "China","Nanchang" "China"
MF,"Xiamen" "China","Kunming" "China"
MF,"Xiamen" "China","Kuala Lumpur" "Malaysia"
MF,"Xiamen" "China","Guiyang" "China"
MF,"Xiamen" "China","Guilin" "China"
MF,"Xiamen" "China","Macau" "Macau"
MF,"Xiamen" "China","Ninbo" "China"
MF,"Xiamen" "China","Nanjing" "China"
MF,"Xiamen" "China","Nanning" "China"
MF,"Xiamen" "China","Beijing" "China"
MF,"Xiamen" "China","Shanghai" "China"
MF,"Xiamen" "China","Shenyang" "China"
MF,"Xiamen" "China","Singapore" "Singapore"
MF,"Xiamen" "China","Sanya" "China"
MF,"Xiamen" "China","Shenzhen" "China"
MF,"Xiamen" "China","Qingdao" "China"
MF,"Xiamen" "China","Jinan" "China"
MF,"Xiamen" "China","Taipei" "Taiwan"
MF,"Xiamen" "China","Taipei" "Taiwan"
MF,"Xiamen" "China","Tianjin" "China"
MF,"Xiamen" "China","Huangshan" "China"
MF,"Xiamen" "China","Taiyuan" "China"
MF,"Xiamen" "China","Wuhan" "China"
MF,"Xiamen" "China","Wuyishan" "China"
MF,"Xiamen" "China","Wanxian" "China"
MF,"Xiamen" "China","Xi'an" "China"
MF,"Xiamen" "China","Yichang" "China"
MF,"Xiamen" "China","Yancheng" "China"
MF,"Xiamen" "China","Zhuhai" "China"
MF,"Xining" "China","Zhengzhou" "China"
MF,"Xining" "China","Chongqing" "China"
MF,"Xining" "China","Xi'an" "China"
MF,"Yichang" "China","Chongqing" "China"
MF,"Yichang" "China","Xiamen" "China"
MF,"Yancheng" "China","Harbin" "China"
MF,"Yancheng" "China","Xiamen" "China"
MF,"Zhuhai" "China","Fuzhou" "China"
MF,"Zhuhai" "China","Xiamen" "China"
MH,"Adelaide" "Australia","Kuala Lumpur" "Malaysia"
MH,"Auckland" "New Zealand","Kuala Lumpur" "Malaysia"
MH,"Amman" "Jordan","Bangkok" "Thailand"
MH,"Amsterdam" "Netherlands","Helsinki" "Finland"
MH,"Amsterdam" "Netherlands","Kuala Lumpur" "Malaysia"
MH,"Amsterdam" "Netherlands","Zurich" "Switzerland"
MH,"Alor Setar" "Malaysia","Kuala Lumpur" "Malaysia"
MH,"Alor Setar" "Malaysia","Kuala Lumpur" "Malaysia"
MH,"Atlanta" "United States","Chicago" "United States"
MH,"Abu Dhabi" "United Arab Emirates","Kuala Lumpur" "Malaysia"
MH,"Abu Dhabi" "United Arab Emirates","Kuwait" "Kuwait"
MH,"Abu Dhabi" "United Arab Emirates","Muscat" "Oman"
MH,"Bahrain" "Bahrain","Bangkok" "Thailand"
MH,"Bario" "Malaysia","Marudi" "Malaysia"
MH,"Bario" "Malaysia","Miri" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Bintulu" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Bandar Seri Begawan" "Brunei"
MH,"Kota Kinabalu" "Malaysia","Hong Kong" "Hong Kong"
MH,"Kota Kinabalu" "Malaysia","Seoul" "South Korea"
MH,"Kota Kinabalu" "Malaysia","Kuching" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Kudat" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Kuala Lumpur" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Labuan" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Lahad Datu" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Lawas" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Miri" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Mulu" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Tokyo" "Japan"
MH,"Kota Kinabalu" "Malaysia","Perth" "Australia"
MH,"Kota Kinabalu" "Malaysia","Puerto Princesa" "Philippines"
MH,"Kota Kinabalu" "Malaysia","Shanghai" "China"
MH,"Kota Kinabalu" "Malaysia","Sibu" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Sandakan" "Malaysia"
MH,"Kota Kinabalu" "Malaysia","Singapore" "Singapore"
MH,"Kota Kinabalu" "Malaysia","Taipei" "Taiwan"
MH,"Kota Kinabalu" "Malaysia","Tawau" "Malaysia"
MH,"Bangkok" "Thailand","Amman" "Jordan"
MH,"Bangkok" "Thailand","Bahrain" "Bahrain"
MH,"Bangkok" "Thailand","Cairo" "Egypt"
MH,"Bangkok" "Thailand","Chiang Rai" "Thailand"
MH,"Bangkok" "Thailand","Kuala Lumpur" "Malaysia"
MH,"Bangkok" "Thailand","Penang" "Malaysia"
MH,"Bakalalan" "Malaysia","Lawas" "Malaysia"
MH,"Bangalore" "India","Kuala Lumpur" "Malaysia"
MH,"Brisbane" "Australia","Kuala Lumpur" "Malaysia"
MH,"Mumbai" "India","Kuala Lumpur" "Malaysia"
MH,"Batam" "Indonesia","Kuala Lumpur" "Malaysia"
MH,"Banda Aceh" "Indonesia","Penang" "Malaysia"
MH,"Bintulu" "Malaysia","Kota Kinabalu" "Malaysia"
MH,"Bintulu" "Malaysia","Kuching" "Malaysia"
MH,"Bintulu" "Malaysia","Kuala Lumpur" "Malaysia"
MH,"Bintulu" "Malaysia","Miri" "Malaysia"
MH,"Bintulu" "Malaysia","Sibu" "Malaysia"
MH,"Bandar Seri Begawan" "Brunei","Kota Kinabalu" "Malaysia"
MH,"Bandar Seri Begawan" "Brunei","Kuala Lumpur" "Malaysia"
MH,"Bandar Seri Begawan" "Brunei","Mulu" "Malaysia"
MH,"Cairo" "Egypt","Bangkok" "Thailand"
MH,"Guangzhou" "China","Kuala Lumpur" "Malaysia"
MH,"Paris" "France","Dallas-Fort Worth" "United States"
MH,"Paris" "France","Helsinki" "Finland"
MH,"Paris" "France","Kuala Lumpur" "Malaysia"
MH,"Paris" "France","Miami" "United States"
MH,"Paris" "France","Chicago" "United States"
MH,"Chiang Rai" "Thailand","Bangkok" "Thailand"
MH,"Jakarta" "Indonesia","Kuala Lumpur" "Malaysia"
MH,"Colombo" "Sri Lanka","Rome" "Italy"
MH,"Colombo" "Sri Lanka","Karachi" "Pakistan"
MH,"Colombo" "Sri Lanka","Kuala Lumpur" "Malaysia"
MH,"Colombo" "Sri Lanka","Male" "Maldives"
MH,"Chiang Mai" "Thailand","Bangkok" "Thailand"
MH,"Kochi" "India","Kuala Lumpur" "Malaysia"
MH,"Dhaka" "Bangladesh","Kuala Lumpur" "Malaysia"
MH,"Delhi" "India","Kuala Lumpur" "Malaysia"
MH,"Dallas-Fort Worth" "United States","Frankfurt" "Germany"
MH,"Dallas-Fort Worth" "United States","London" "United Kingdom"
MH,"Dallas-Fort Worth" "United States","Tokyo" "Japan"
MH,"Doha" "Qatar","Kuala Lumpur" "Malaysia"
MH,"Doha" "Qatar","Riyadh" "Saudi Arabia"
MH,"Denpasar" "Indonesia","Kuala Lumpur" "Malaysia"
MH,"Darwin" "Australia","Kuala Lumpur" "Malaysia"
MH,"Dubai" "United Arab Emirates","Kuala Lumpur" "Malaysia"
MH,"Rome" "Italy","Colombo" "Sri Lanka"
MH,"Fuzhou" "China","Kuala Lumpur" "Malaysia"
MH,"Frankfurt" "Germany","Dallas-Fort Worth" "United States"
MH,"Frankfurt" "Germany","Kuala Lumpur" "Malaysia"
MH,"Hanoi" "Vietnam","Kuala Lumpur" "Malaysia"
MH,"Helsinki" "Finland","Paris" "France"
MH,"Helsinki" "Finland","London" "United Kingdom"
MH,"Hong Kong" "Hong Kong","Kota Kinabalu" "Malaysia"
MH,"Hong Kong" "Hong Kong","Kuala Lumpur" "Malaysia"
MH,"Phuket" "Thailand","Bangkok" "Thailand"
MH,"Phuket" "Thailand","Kuala Lumpur" "Malaysia"
MH,"Phuket" "Thailand","Penang" "Malaysia"
MH,null null,"Kuala Lumpur" "Malaysia"
MH,"Seoul" "South Korea","Kota Kinabalu" "Malaysia"
MH,"Seoul" "South Korea","Kuala Lumpur" "Malaysia"
MH,"Ipoh" "Malaysia","Singapore" "Singapore"
MH,"Istanbul" "Turkey","Kuala Lumpur" "Malaysia"
MH,"Jeddah" "Saudi Arabia","Kuala Lumpur" "Malaysia"
MH,"New York" "United States","London" "United Kingdom"
MH,"Johor Bahru" "Malaysia","Kota Bahru" "Malaysia"
MH,"Johor Bahru" "Malaysia","Kuala Lumpur" "Malaysia"
