Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
2N,"Stockholm" "Sweden","Vaxjo" "Sweden"
2N,"Gallivare" "Sweden","Stockholm" "Sweden"
2N,"Gallivare" "Sweden","Kramfors" "Sweden"
2N,"Halmstad" "Sweden","Stockholm" "Sweden"
2N,"Halmstad" "Sweden","Joenkoeping" "Sweden"
2N,"Halmstad" "Sweden","Vaxjo" "Sweden"
2N,"Hemavan" "Sweden","Vilhelmina" "Sweden"
2N,"Joenkoeping" "Sweden","Stockholm" "Sweden"
2N,"Joenkoeping" "Sweden","Halmstad" "Sweden"
2N,"Kruunupyy" "Finland","Pori" "Finland"
2N,"Kramfors" "Sweden","Stockholm" "Sweden"
2N,"Kramfors" "Sweden","Gallivare" "Sweden"
2N,"Karlstad" "Sweden","Stockholm" "Sweden"
2N,"Lycksele" "Sweden","Arvidsjaur" "Sweden"
2N,"Lycksele" "Sweden","Stockholm" "Sweden"
2N,"Mariehamn" "Finland","Stockholm" "Sweden"
2N,"Mariehamn" "Finland","Turku" "Finland"
2N,"Ornskoldsvik" "Sweden","Stockholm" "Sweden"
2N,"Oslo" "Norway","Vaxjo" "Sweden"
2N,"Pori" "Finland","Stockholm" "Sweden"
2N,"Pori" "Finland","Kruunupyy" "Finland"
2N,"Turku" "Finland","Mariehamn" "Finland"
2N,null null,"Stockholm" "Sweden"
2N,"Visby" "Sweden","Stockholm" "Sweden"
2N,"Vilhelmina" "Sweden","Stockholm" "Sweden"
2N,"Vilhelmina" "Sweden","Hemavan" "Sweden"
2N,"Vaxjo" "Sweden","Stockholm" "Sweden"
2N,"Vaxjo" "Sweden","Oslo" "Norway"
2O,"Kodiak" "United States",null null
2O,"Kodiak" "United States",null null
2O,"Kodiak" "United States","Larsen Bay" "United States"
2O,"Kodiak" "United States",null null
2O,"Kodiak" "United States",null null
2O,null null,null null
2O,null null,null null
2O,"Larsen Bay" "United States","Karluk" "United States"
2O,null null,null null
2O,null null,null null
2P,"Basco" "Philippines","Manila" "Philippines"
2P,"Butuan" "Philippines","Manila" "Philippines"
2P,"Cotabato" "Philippines","Manila" "Philippines"
2P,"Ladag" "Philippines","Manila" "Philippines"
2P,"Catarman" "Philippines","Manila" "Philippines"
2P,"Dumaguete" "Philippines","Manila" "Philippines"
2P,"Dubai" "United Arab Emirates","Manila" "Philippines"
2P,"Romblon" "Philippines","Manila" "Philippines"
2P,"Kalibo" "Philippines","Manila" "Philippines"
2P,"Legazpi" "Philippines","Manila" "Philippines"
2P,"Manila" "Philippines","Basco" "Philippines"
2P,"Manila" "Philippines","Butuan" "Philippines"
2P,"Manila" "Philippines","Cotabato" "Philippines"
2P,"Manila" "Philippines","Ladag" "Philippines"
2P,"Manila" "Philippines","Catarman" "Philippines"
2P,"Manila" "Philippines","Dumaguete" "Philippines"
2P,"Manila" "Philippines","Dubai" "United Arab Emirates"
2P,"Manila" "Philippines","Romblon" "Philippines"
2P,"Manila" "Philippines","Kalibo" "Philippines"
2P,"Manila" "Philippines","Legazpi" "Philippines"
2P,"Manila" "Philippines","Caticlan" "Philippines"
2P,"Manila" "Philippines","Ozamis" "Philippines"
2P,"Manila" "Philippines","Puerto Princesa" "Philippines"
2P,"Manila" "Philippines","Roxas City" "Philippines"
2P,"Manila" "Philippines","Sangley Point" "Philippines"
2P,"Manila" "Philippines","Tuguegarao" "Philippines"
2P,"Manila" "Philippines","Zamboanga" "Philippines"
2P,"Caticlan" "Philippines","Manila" "Philippines"
2P,"Ozamis" "Philippines","Manila" "Philippines"
2P,"Puerto Princesa" "Philippines","Manila" "Philippines"
2P,"Roxas City" "Philippines","Manila" "Philippines"
2P,"Sangley Point" "Philippines","Manila" "Philippines"
2P,"Tuguegarao" "Philippines","Manila" "Philippines"
2P,"Zamboanga" "Philippines","Manila" "Philippines"
2Z,"Araguaina" "Brazil","Palmas" "Brazil"
2Z,"Barreiras" "Brazil","Brasilia" "Brazil"
2Z,"Barreiras" "Brazil","Salvador" "Brazil"
2Z,"Brasilia" "Brazil","Barreiras" "Brazil"
2Z,"Brasilia" "Brazil","Sinop" "Brazil"
2Z,"Brasilia" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Cascavel" "Brazil","Sao Paulo" "Brazil"
2Z,"Cuiaba" "Brazil","Goiania" "Brazil"
2Z,"Cuiaba" "Brazil","Sinop" "Brazil"
2Z,"Campo Grande" "Brazil","Dourados" "Brazil"
2Z,"Dourados" "Brazil","Campo Grande" "Brazil"
2Z,"Dourados" "Brazil","Sao Paulo" "Brazil"
2Z,"Rio De Janeiro" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Sao Paulo" "Brazil","Cascavel" "Brazil"
2Z,"Sao Paulo" "Brazil","Dourados" "Brazil"
2Z,"Sao Paulo" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Sao Paulo" "Brazil","Uberaba" "Brazil"
2Z,"Sao Paulo" "Brazil","Uberlandia" "Brazil"
2Z,"Sao Paulo" "Brazil","Vit?ria Da Conquista" "Brazil"
2Z,"Goiania" "Brazil","Cuiaba" "Brazil"
2Z,"Goiania" "Brazil","Palmas" "Brazil"
2Z,"Goiania" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Goiania" "Brazil","Uberlandia" "Brazil"
2Z,"Sinop" "Brazil","Brasilia" "Brazil"
2Z,"Sinop" "Brazil","Cuiaba" "Brazil"
2Z,"Belo Horizonte" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Palmas" "Brazil","Araguaina" "Brazil"
2Z,"Palmas" "Brazil","Goiania" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Brasilia" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Rio De Janeiro" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Sao Paulo" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Goiania" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Belo Horizonte" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Sao Jose Do Rio Preto" "Brazil"
2Z,"Ribeirao Preto" "Brazil","Uberlandia" "Brazil"
2Z,"Sao Jose Do Rio Preto" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Salvador" "Brazil","Barreiras" "Brazil"
2Z,"Salvador" "Brazil","Vit?ria Da Conquista" "Brazil"
2Z,"Uberaba" "Brazil","Sao Paulo" "Brazil"
2Z,"Uberaba" "Brazil","Uberlandia" "Brazil"
2Z,"Uberlandia" "Brazil","Sao Paulo" "Brazil"
2Z,"Uberlandia" "Brazil","Goiania" "Brazil"
2Z,"Uberlandia" "Brazil","Ribeirao Preto" "Brazil"
2Z,"Uberlandia" "Brazil","Uberaba" "Brazil"
2Z,"Vit?ria Da Conquista" "Brazil","Sao Paulo" "Brazil"
2Z,"Vit?ria Da Conquista" "Brazil","Salvador" "Brazil"
3E,"Burlington" "United States","Chicago" "United States"
3E,"Burlington" "United States","St. Louis" "United States"
3E,"Decatur" "United States","Chicago" "United States"
3E,"Decatur" "United States","St. Louis" "United States"
3E,"Jonesboro" "United States","St. Louis" "United States"
3E,"Chicago" "United States","Burlington" "United States"
3E,"Chicago" "United States","Decatur" "United States"
3E,"St. Louis" "United States","Burlington" "United States"
3E,"St. Louis" "United States","Decatur" "United States"
3E,"St. Louis" "United States","Jonesboro" "United States"
3F,null null,null null
3F,null null,"Ketchikan" "United States"
3F,null null,null null
3F,null null,null null
3F,null null,"Ketchikan" "United States"
3F,null null,null null
3F,null null,"Ketchikan" "United States"
3F,"Ketchikan" "United States",null null
3F,"Ketchikan" "United States",null null
3F,"Ketchikan" "United States",null null
3F,"Ketchikan" "United States","Metakatla" "United States"
3F,"Metakatla" "United States","Ketchikan" "United States"
3G,"Accra" "Ghana","Dakar" "Senegal"
3G,"Accra" "Ghana","Lagos" "Nigeria"
3G,"Accra" "Ghana","Monrovia" "Liberia"
3G,"Barcelona" "Spain","Banjul" "Gambia"
3G,"Banjul" "Gambia","Barcelona" "Spain"
3G,"Banjul" "Gambia","Dakar" "Senegal"
3G,"Banjul" "Gambia","Freetown" "Sierra Leone"
3G,"Conakry" "Guinea","Bissau" "Guinea-Bissau"
3G,"Dakar" "Senegal","Accra" "Ghana"
3G,"Dakar" "Senegal","Banjul" "Gambia"
3G,"Dakar" "Senegal","Douala" "Cameroon"
3G,"Dakar" "Senegal","Freetown" "Sierra Leone"
3G,"Dakar" "Senegal","Lagos" "Nigeria"
3G,"Dakar" "Senegal","Bissau" "Guinea-Bissau"
3G,"Douala" "Cameroon","Dakar" "Senegal"
3G,"Douala" "Cameroon","Lagos" "Nigeria"
3G,"Freetown" "Sierra Leone","Banjul" "Gambia"
3G,"Freetown" "Sierra Leone","Dakar" "Senegal"
3G,"Freetown" "Sierra Leone","London" "United Kingdom"
3G,"Freetown" "Sierra Leone","Monrovia" "Liberia"
3G,"London" "United Kingdom","Freetown" "Sierra Leone"
3G,"Lagos" "Nigeria","Accra" "Ghana"
3G,"Lagos" "Nigeria","Dakar" "Senegal"
3G,"Lagos" "Nigeria","Douala" "Cameroon"
3G,"Lagos" "Nigeria","Monrovia" "Liberia"
3G,"Bissau" "Guinea-Bissau","Conakry" "Guinea"
3G,"Bissau" "Guinea-Bissau","Dakar" "Senegal"
3G,"Monrovia" "Liberia","Accra" "Ghana"
3G,"Monrovia" "Liberia","Freetown" "Sierra Leone"
3G,"Monrovia" "Liberia","Lagos" "Nigeria"
3H,"Akulivik" "Canada","Ivujivik" "Canada"
3H,"Akulivik" "Canada","Puvirnituq" "Canada"
3H,"Kangiqsualujjuaq" "Canada","Quujjuaq" "Canada"
3H,"La Grande Riviere" "Canada","Kuujjuarapik" "Canada"
3H,"La Grande Riviere" "Canada","Puvirnituq" "Canada"
3H,"La Grande Riviere" "Canada","Montreal" "Canada"
3H,"Kuujjuarapik" "Canada","La Grande Riviere" "Canada"
3H,"Kuujjuarapik" "Canada","Inukjuak" "Canada"
3H,"Kuujjuarapik" "Canada","Sanikiluaq" "Canada"
3H,"Kuujjuarapik" "Canada","Umiujaq" "Canada"
3H,"Kuujjuarapik" "Canada","Montreal" "Canada"
3H,"Kuujjuarapik" "Canada","Rouyn" "Canada"
3H,"Ivujivik" "Canada","Akulivik" "Canada"
3H,"Ivujivik" "Canada","Salluit" "Canada"
3H,"Kangirsuk" "Canada","Aupaluk" "Canada"
3H,"Kangirsuk" "Canada","Quaqtaq" "Canada"
3H,"Kangirsuk" "Canada","Quujjuaq" "Canada"
3H,"Schefferville" "Canada","Quebec" "Canada"
3H,"Schefferville" "Canada","Quujjuaq" "Canada"
3H,"Schefferville" "Canada","Wabush" "Canada"
3H,"Schefferville" "Canada","Sept-iles" "Canada"
3H,"Inukjuak" "Canada","Puvirnituq" "Canada"
3H,"Inukjuak" "Canada","Umiujaq" "Canada"
3H,"Inukjuak" "Canada","Quujjuaq" "Canada"
3H,"Aupaluk" "Canada","Kangirsuk" "Canada"
3H,"Aupaluk" "Canada","Tasiujaq" "Canada"
3H,"Aupaluk" "Canada","Quujjuaq" "Canada"
3H,"Puvirnituq" "Canada","Akulivik" "Canada"
3H,"Puvirnituq" "Canada","La Grande Riviere" "Canada"
3H,"Puvirnituq" "Canada","Inukjuak" "Canada"
3H,"Puvirnituq" "Canada","Quujjuaq" "Canada"
3H,"Quebec" "Canada","Schefferville" "Canada"
3H,"Quebec" "Canada","Montreal" "Canada"
3H,"Quaqtaq" "Canada","Kangirsuk" "Canada"
3H,"Quaqtaq" "Canada","Kangiqsujuaq" "Canada"
3H,"Sanikiluaq" "Canada","Kuujjuarapik" "Canada"
3H,"Sanikiluaq" "Canada","Umiujaq" "Canada"
3H,"Tasiujaq" "Canada","Aupaluk" "Canada"
3H,"Tasiujaq" "Canada","Quujjuaq" "Canada"
3H,"Umiujaq" "Canada","Kuujjuarapik" "Canada"
3H,"Umiujaq" "Canada","Inukjuak" "Canada"
3H,"Umiujaq" "Canada","Sanikiluaq" "Canada"
3H,"Montreal" "Canada","La Grande Riviere" "Canada"
3H,"Montreal" "Canada","Kuujjuarapik" "Canada"
3H,"Montreal" "Canada","Quebec" "Canada"
3H,"Montreal" "Canada","Rouyn" "Canada"
3H,"Rouyn" "Canada","Kuujjuarapik" "Canada"
3H,"Rouyn" "Canada","Montreal" "Canada"
3H,"Quujjuaq" "Canada","Kangiqsualujjuaq" "Canada"
3H,"Quujjuaq" "Canada","Kuujjuarapik" "Canada"
3H,"Quujjuaq" "Canada","Kangirsuk" "Canada"
3H,"Quujjuaq" "Canada","Schefferville" "Canada"
3H,"Quujjuaq" "Canada","Inukjuak" "Canada"
3H,"Quujjuaq" "Canada","Aupaluk" "Canada"
3H,"Quujjuaq" "Canada","Puvirnituq" "Canada"
3H,"Quujjuaq" "Canada","Tasiujaq" "Canada"
3H,"Kangiqsujuaq" "Canada","Quaqtaq" "Canada"
3H,"Kangiqsujuaq" "Canada","Salluit" "Canada"
3H,"Wabush" "Canada","Schefferville" "Canada"
3H,"Wabush" "Canada","Sept-iles" "Canada"
3H,"Salluit" "Canada","Ivujivik" "Canada"
3H,"Salluit" "Canada","Kangiqsujuaq" "Canada"
3H,"Sept-iles" "Canada","Schefferville" "Canada"
3H,"Sept-iles" "Canada","Wabush" "Canada"
3J,"Djibouti" "Djibouti","Dubai" "United Arab Emirates"
3J,"Djibouti" "Djibouti","Jeddah" "Saudi Arabia"
3J,"Djibouti" "Djibouti","Mogadishu" "Somalia"
3J,"Mogadishu" "Somalia","Nairobi" "Kenya"
3J,"Nairobi" "Kenya","Mogadishu" "Somalia"
3K,"Bangkok" "Thailand","Singapore" "Singapore"
3K,"Darwin" "Australia","Singapore" "Singapore"
3K,"Haikou" "China","Singapore" "Singapore"
3K,"Hangzhou" "China","Singapore" "Singapore"
3K,"Hong Kong" "Hong Kong","Singapore" "Singapore"
3K,"Phuket" "Thailand","Singapore" "Singapore"
3K,"Osaka" "Japan","Manila" "Philippines"
3K,"Osaka" "Japan","Taipei" "Taiwan"
3K,"Kuala Lumpur" "Malaysia","Singapore" "Singapore"
3K,"Manila" "Philippines","Osaka" "Japan"
3K,"Manila" "Philippines","Singapore" "Singapore"
3K,"Penang" "Malaysia","Singapore" "Singapore"
3K,"Perth" "Australia","Singapore" "Singapore"
3K,"Phnom-penh" "Cambodia","Singapore" "Singapore"
3K,"Siem-reap" "Cambodia","Singapore" "Singapore"
3K,"Yangon" "Burma","Singapore" "Singapore"
3K,"Ho Chi Minh City" "Vietnam","Singapore" "Singapore"
3K,"Singapore" "Singapore","Bangkok" "Thailand"
3K,"Singapore" "Singapore","Darwin" "Australia"
3K,"Singapore" "Singapore","Haikou" "China"
3K,"Singapore" "Singapore","Hangzhou" "China"
3K,"Singapore" "Singapore","Hong Kong" "Hong Kong"
3K,"Singapore" "Singapore","Phuket" "Thailand"
3K,"Singapore" "Singapore","Kuala Lumpur" "Malaysia"
3K,"Singapore" "Singapore","Manila" "Philippines"
3K,"Singapore" "Singapore","Penang" "Malaysia"
3K,"Singapore" "Singapore","Perth" "Australia"
3K,"Singapore" "Singapore","Phnom-penh" "Cambodia"
3K,"Singapore" "Singapore","Siem-reap" "Cambodia"
3K,"Singapore" "Singapore","Yangon" "Burma"
3K,"Singapore" "Singapore","Ho Chi Minh City" "Vietnam"
3K,"Singapore" "Singapore","Shantou" "China"
3K,"Singapore" "Singapore","Taipei" "Taiwan"
3K,"Shantou" "China","Singapore" "Singapore"
3K,"Taipei" "Taiwan","Osaka" "Japan"
3K,"Taipei" "Taiwan","Singapore" "Singapore"
3L,"Altenrhein" "Switzerland","Marina Di Campo" "Italy"
3L,"Dresden" "Germany","Zurich" "Switzerland"
3L,"Duesseldorf" "Germany","Friedrichshafen" "Germany"
3L,"Marina Di Campo" "Italy","Altenrhein" "Switzerland"
3L,"Marina Di Campo" "Italy","Friedrichshafen" "Germany"
3L,"Marina Di Campo" "Italy","Munich" "Germany"
3L,"Marina Di Campo" "Italy","Zurich" "Switzerland"
3L,"Friedrichshafen" "Germany","Duesseldorf" "Germany"
3L,"Friedrichshafen" "Germany","Marina Di Campo" "Italy"
3L,"Friedrichshafen" "Germany","Hamburg" "Germany"
3L,"Friedrichshafen" "Germany","Olbia" "Italy"
3L,"Friedrichshafen" "Germany","Berlin" "Germany"
3L,"Friedrichshafen" "Germany","Zadar" "Croatia"
3L,"Memmingen" "Germany","Naples" "Italy"
3L,"Graz" "Austria","Zurich" "Switzerland"
3L,"Hamburg" "Germany","Friedrichshafen" "Germany"
3L,"Munich" "Germany","Marina Di Campo" "Italy"
3L,"Naples" "Italy","Memmingen" "Germany"
3L,"Olbia" "Italy","Friedrichshafen" "Germany"
3L,"Salzburg" "Austria","Zurich" "Switzerland"
3L,"Berlin" "Germany","Friedrichshafen" "Germany"
3L,"Zadar" "Croatia","Friedrichshafen" "Germany"
3L,"Zurich" "Switzerland","Dresden" "Germany"
3L,"Zurich" "Switzerland","Marina Di Campo" "Italy"
3L,"Zurich" "Switzerland","Graz" "Austria"
3L,"Zurich" "Switzerland","Salzburg" "Austria"
3M,"Atlanta" "United States","Lewisburg" "United States"
3M,"Atlanta" "United States","Macon" "United States"
3M,"Atlanta" "United States","Meridian" "United States"
3M,"Atlanta" "United States","Muscle Shoals" "United States"
3M,"Atlanta" "United States","Hattiesburg/Laurel" "United States"
3M,"Atlanta" "United States","Tupelo" "United States"
3M,"Alice Town" "Bahamas","Fort Lauderdale" "United States"
3M,"North Eleuthera" "Bahamas","Fort Lauderdale" "United States"
3M,"North Eleuthera" "Bahamas","West Palm Beach" "United States"
3M,"Key West" "United States","Fort Lauderdale" "United States"
3M,"Key West" "United States","Fort Myers" "United States"
3M,"Key West" "United States","Tampa" "United States"
3M,"Fort Lauderdale" "United States","Alice Town" "Bahamas"
3M,"Fort Lauderdale" "United States","North Eleuthera" "Bahamas"
3M,"Fort Lauderdale" "United States","Key West" "United States"
3M,"Fort Lauderdale" "United States","Freeport" "Bahamas"
3M,"Fort Lauderdale" "United States","Great Exuma" "Bahamas"
3M,"Fort Lauderdale" "United States","Governor's Harbor" "Bahamas"
3M,"Fort Lauderdale" "United States","Orlando" "United States"
3M,"Fort Lauderdale" "United States","Marsh Harbor" "Bahamas"
3M,"Fort Lauderdale" "United States","Treasure Cay" "Bahamas"
3M,"Fort Lauderdale" "United States","Tampa" "United States"
3M,"Freeport" "Bahamas","Fort Lauderdale" "United States"
3M,"Great Exuma" "Bahamas","Fort Lauderdale" "United States"
3M,"Great Exuma" "Bahamas","Governor's Harbor" "Bahamas"
3M,"Governor's Harbor" "Bahamas","Fort Lauderdale" "United States"
3M,"Greenville" "United States","Tupelo" "United States"
3M,"Gainesville" "United States","Orlando" "United States"
3M,"Gainesville" "United States","Tampa" "United States"
3M,"Jacksonville" "United States","Marsh Harbor" "Bahamas"
3M,"Jacksonville" "United States","Tampa" "United States"
3M,"Lewisburg" "United States","Atlanta" "United States"
3M,"Macon" "United States","Atlanta" "United States"
3M,"Macon" "United States","Orlando" "United States"
3M,"Orlando" "United States","Fort Lauderdale" "United States"
3M,"Orlando" "United States","Gainesville" "United States"
3M,"Orlando" "United States","Macon" "United States"
3M,"Orlando" "United States","Marsh Harbor" "Bahamas"
3M,"Orlando" "United States","Pensacola" "United States"
3M,"Orlando" "United States","Fort Myers" "United States"
3M,"Orlando" "United States","Tallahassee" "United States"
